iter	Passed	Remaining
574	4524	3343
575	4532	3336
576	4542	3330
577	4553	3324
578	4561	3317
579	4572	3310
580	4579	3302
581	4588	3295
582	4598	3288
583	4606	3281
584	4616	3275
585	4627	3269
586	4639	3263
587	4647	3256
588	4654	3247
589	4661	3239
590	4668	3230
591	4674	3221
592	4682	3213
593	4690	3206
594	4699	3198
595	4705	3189
596	4713	3181
597	4719	3172
598	4725	3163
599	4732	3155
600	4738	3145
601	4745	3137
602	4750	3127
603	4756	3118
604	4765	3111
605	4770	3101
606	4777	3093
607	4783	3084
608	4789	3075
609	4796	3066
610	4804	3058
611	4812	3050
612	4817	3041
613	4823	3032
614	4846	3033
615	4857	3028
616	4867	3021
617	4878	3015
618	4884	3006
619	4892	2998
620	4900	2990
621	4905	2981
622	4912	2972
623	4917	2963
624	4925	2955
625	4930	2945
626	4935	2936
627	4942	2927
628	4948	2918
629	4953	2909
630	4960	2901
631	4966	2891
632	4973	2883
633	4978	2874
634	4984	2865
635	4992	2857
636	4998	2848
637	5005	2840
638	5014	2832
639	5021	2824
640	5027	2815
641	5033	2806
642	5041	2798
643	5046	2789
644	5053	2781
645	5059	2772
646	5065	2763
647	5072	2755
648	5078	2746
649	5084	2737
650	5090	2728
651	5095	2719
652	5102	2711
653	5110	2703
654	5117	2695
655	5123	2686
656	5128	2677
657	5135	2669
658	5141	2660
659	5147	2651
660	5154	2643
661	5160	2634
662	5167	2626
663	5172	2617
664	5178	2608
665	5185	2600
666	5190	2591
667	5196	2582
668	5204	2574
669	5210	2566
670	5218	2558
671	5223	2549
672	5229	2540
673	5235	2532
674	5240	2523
675	5247	2515
676	5253	2506
677	5259	2497
678	5268	2490
679	5274	2481
680	5281	2474
681	5287	2465
682	5292	2456
683	5300	2448
684	5306	2440
685	5313	2432
686	5321	2424
687	5327	2416
688	5333	2407
689	5339	2398
690	5346	2390
691	5352	2382
692	5358	2373
693	5365	2365
694	5370	2357
695	5377	2348
696	5383	2340
697	5388	2331
698	5396	2323
699	5401	2315
700	5409	2307
701	5417	2299
702	5423	2291
703	5430	2283
704	5436	2274
705	5443	2266
706	5451	2259
707	5458	2251
708	5464	2242
709	5470	2234
710	5477	2226
711	5483	2218
712	5489	2209
713	5496	2201
714	5502	2193
715	5509	2185
716	5515	2176
717	5521	2168
718	5528	2160
719	5535	2152
720	5544	2145
721	5551	2137
722	5560	2130
723	5567	2122
724	5576	2115
725	5583	2107
726	5591	2099
727	5599	2092
728	5607	2084
729	5612	2075
730	5618	2067
731	5625	2059
732	5631	2051
733	5637	2043
734	5646	2035
735	5652	2027
736	5660	2019
737	5666	2011
738	5673	2003
739	5678	1995
740	5684	1986
741	5691	1978
742	5697	1970
743	5703	1962
744	5711	1954
745	5717	1946
746	5724	1938
747	5729	1930
748	5736	1922
749	5744	1914
750	5751	1906
751	5757	1898
752	5762	1890
753	5769	1882
754	5775	1874
755	5781	1866
756	5789	1858
757	5794	1850
758	5802	1842
759	5808	1834
760	5815	1826
761	5821	1818
762	5826	1809
763	5833	1802
764	5842	1794
765	5848	1786
766	5854	1778
767	5860	1770
768	5867	1762
769	5873	1754
770	5879	1746
771	5886	1738
772	5892	1730
773	5900	1722
774	5905	1714
775	5911	1706
776	5918	1698
